Region,Country,Plant,NumReactor,Latitude,Longitude
Europe - Western,SWEDEN,AGESTA,1,59.206022,18.082872
Europe - Western,SPAIN,ALMARAZ,2,39.8081,-5.69694
America - Latin,BRAZIL,ANGRA,3,-23.007857,-44.458098
America - Northern,UNITED STATES OF AMERICA,ARKANSAS ONE,2,35.31032,-93.231289
Europe - Western,SPAIN,ASCO,2,41.2,0.56667
America - Latin,ARGENTINA,ATUCHA,2,-33.968002,-59.20374
Europe - Western,GERMANY,AVR,1,50.903056,6.421111
Europe - Central and Eastern,RUSSIAN FEDERATION,BALAKOVO,4,52.092935,47.956762
Europe - Western,SWEDEN,BARSEBACK,2,55.744444,12.920833
America - Northern,UNITED STATES OF AMERICA,BEAVER VALLEY,2,40.6219,-80.4339
Europe - Central and Eastern,BULGARIA,BELENE,2,43.62944,25.189345
Europe - Western,FRANCE,BELLEVILLE,2,47.5075,2.8775
Europe - Central and Eastern,RUSSIAN FEDERATION,BELOYARSKY,4,56.85,61.3167
Europe - Western,UNITED KINGDOM,BERKELEY,2,51.6925,-2.493611
Europe - Western,SWITZERLAND,BEZNAU,2,47.552148,8.228175
Europe - Western,GERMANY,BIBLIS,2,49.709305,8.414744
America - Northern,UNITED STATES OF AMERICA,BIG ROCK POINT,1,45.358889,-85.197222
Europe - Central and Eastern,RUSSIAN FEDERATION,BILIBINO,4,68.050658,166.539698
Europe - Western,FRANCE,BLAYAIS,4,45.255907,-0.691883
,KAZAKHSTAN,BN-350,1,43.607,51.283
Europe - Central and Eastern,SLOVAK REPUBLIC,BOHUNICE,5,48.494444,17.681944
America - Northern,UNITED STATES OF AMERICA,BONUS,1,18.366389,-67.268611
Europe - Western,NETHERLANDS,BORSSELE,1,51.431623,3.717595
Europe - Western,UNITED KINGDOM,BRADWELL,2,51.741389,0.896944
America - Northern,UNITED STATES OF AMERICA,BRAIDWOOD,2,41.2436,-88.2289
Europe - Western,FRANCE,BRENNILIS,1,48.3533,-3.872203
Europe - Western,GERMANY,BROKDORF (KBR),1,53.850833,9.344722
America - Northern,UNITED STATES OF AMERICA,BROWNS FERRY,3,34.7042,-87.1186
America - Northern,CANADA,BRUCE,8,44.326136,-81.594719
Europe - Western,GERMANY,BRUNSBUETTEL,1,53.891667,9.201667
America - Northern,UNITED STATES OF AMERICA,BRUNSWICK,2,33.9583,-78.0106
Europe - Western,FRANCE,BUGEY,5,45.7956,5.27
Asia - Middle East and South,"IRAN, ISLAMIC REPUBLIC OF",BUSHEHR,1,28.828851,50.892757
America - Northern,UNITED STATES OF AMERICA,BYRON,2,42.075,-89.2819
America - Northern,UNITED STATES OF AMERICA,CALLAWAY,1,38.7583,-91.7817
America - Northern,UNITED STATES OF AMERICA,CALVERT CLIFFS,2,38.4347,-76.4419
Europe - Western,ITALY,CAORSO,1,45.07206,9.87214
America - Northern,UNITED STATES OF AMERICA,CATAWBA,2,35.0514,-81.0694
Europe - Western,FRANCE,CATTENOM,4,49.4136,6.21639
Asia - Far East,CHINA,CEFR,1,39.740929,116.030139
Europe - Central and Eastern,ROMANIA,CERNAVODA,2,44.322169,28.058041
Asia - Far East,CHINA,CHANG JIANG,2,19.423056,108.8125
Europe - Western,UNITED KINGDOM,CHAPELCROSS,4,55.01566,-3.22605
Asia - Middle East and South,PAKISTAN,CHASNUPP,4,32.390929,71.463095
Europe - Central and Eastern,UKRAINE,CHERNOBYL,4,51.389553,30.099147
Asia - Far East,"TAIWAN, CHINA",CHIN SHAN,2,25.286254,121.587677
Europe - Western,FRANCE,CHINON,7,47.230649,0.169521
Europe - Western,FRANCE,CHOOZ,3,50.09,4.78944
Europe - Western,FRANCE,CIVAUX,2,46.456031,0.654284
America - Northern,UNITED STATES OF AMERICA,CLINTON,1,40.1719,-88.8342
Europe - Western,SPAIN,COFRENTES,1,39.2167,-1.05
America - Northern,UNITED STATES OF AMERICA,COLUMBIA,1,46.471111,-119.333889
America - Northern,UNITED STATES OF AMERICA,COMANCHE PEAK,2,32.2978,-97.785
America - Northern,UNITED STATES OF AMERICA,COOPER,1,40.3619,-95.6411
Europe - Western,FRANCE,CREYS-MALVILLE,1,45.758333,5.472222
Europe - Western,FRANCE,CRUAS,4,44.6314,4.75556
America - Northern,UNITED STATES OF AMERICA,CRYSTAL RIVER,1,28.9572,-82.6989
America - Northern,UNITED STATES OF AMERICA,CVTR,1,34.2625,-81.329167
Europe - Western,FRANCE,DAMPIERRE,4,47.7339,2.51611
America - Northern,CANADA,DARLINGTON,4,43.869268,-78.722457
America - Northern,UNITED STATES OF AMERICA,DAVIS BESSE,1,41.5972,-83.0864
America - Northern,UNITED STATES OF AMERICA,DIABLO CANYON,2,35.2117,-120.854
,NETHERLANDS,DODEWARRD,1,51.899722,5.686111
Europe - Western,BELGIUM,DOEL,4,51.325278,4.259356
America - Northern,UNITED STATES OF AMERICA,DONALD COOK,2,41.9761,-86.5664
America - Northern,CANADA,DOUGLAS POINT,1,44.326667,-81.6
Europe - Western,UNITED KINGDOM,DOUNREAY,2,58.57814,-3.75233
America - Northern,UNITED STATES OF AMERICA,DRESDEN,3,41.3897,-88.2711
America - Northern,UNITED STATES OF AMERICA,DUANE ARNOLD,1,42.1006,-91.7772
Europe - Central and Eastern,CZECH REPUBLIC,DUKOVANY,4,49.086876,16.13826
Europe - Western,UNITED KINGDOM,DUNGENESS,4,50.913889,0.963889
America - Northern,UNITED STATES OF AMERICA,ELK RIVER,1,45.295172,-93.5567
America - Latin,ARGENTINA,EMBALSE,1,-32.232154,-64.443385
Europe - Western,GERMANY,EMSLAND (KKE),1,52.474231,7.317858
America - Northern,UNITED STATES OF AMERICA,ENRICO FERMI,3,41.9633,-83.2586
Asia - Far East,CHINA,FANGCHENGGANG,2,21.615298,108.347253
America - Northern,UNITED STATES OF AMERICA,FARLEY,2,31.2228,-85.1125
Europe - Western,FRANCE,FESSENHEIM,2,47.9064,7.56528
America - Northern,UNITED STATES OF AMERICA,FITZPATRICK,1,43.5239,-76.3983
Europe - Western,FRANCE,FLAMANVILLE,3,49.5358,-1.88139
Europe - Western,SWEDEN,FORSMARK,3,60.402788,18.173758
America - Northern,UNITED STATES OF AMERICA,FORT CALHOUN,1,41.5208,-96.0767
America - Northern,UNITED STATES OF AMERICA,FORT ST. VRAIN,1,40.244444,-104.874167
Asia - Far East,JAPAN,FUGEN ATR,1,35.754444,136.016389
Asia - Far East,JAPAN,FUKUSHIMA-DAIICHI,6,37.42164,141.034658
Asia - Far East,JAPAN,FUKUSHIMA-DAINI,4,37.316229,141.026181
Asia - Far East,CHINA,FUQING,3,25.448056,119.450556
Europe - Western,ITALY,GARIGLIANO,1,41.258315,13.834781
Asia - Far East,JAPAN,GENKAI,4,33.5167,129.833
America - Northern,CANADA,GENTILLY,2,46.39461,-72.356225
Europe - Western,SWITZERLAND,GOESGEN,1,47.365781,7.967914
Europe - Western,FRANCE,GOLFECH,2,44.10618,0.844447
Europe - Western,GERMANY,GRAFENRHEINFELD (KKG),1,49.984086,10.184669
America - Northern,UNITED STATES OF AMERICA,GRAND GULF,1,32.0075,-91.0481
Europe - Western,FRANCE,GRAVELINES,6,51.0161,2.14417
Europe - Western,GERMANY,GREIFSWALD,5,54.140586,13.664422
Europe - Western,GERMANY,GROHNDE (KWG),1,52.035,9.413333
Asia - Far East,CHINA,GUANGDONG,2,22.597144,114.543139
Europe - Western,GERMANY,GUNDREMMINGEN,3,48.5167,10.4
America - Northern,UNITED STATES OF AMERICA,H.B. ROBINSON,1,34.4053,-80.1586
America - Northern,UNITED STATES OF AMERICA,HADDAM NECK,1,41.481944,-72.499167
Asia - Far East,CHINA,HAIYANG,2,36.708333,121.383333
America - Northern,UNITED STATES OF AMERICA,HALLAM,1,40.55925,-96.784711
Asia - Far East,JAPAN,HAMAOKA,5,34.620877,138.144207
Europe - Western,UNITED KINGDOM,HARTLEPOOL,2,54.634824,-1.18081
America - Northern,UNITED STATES OF AMERICA,HATCH,2,31.9342,-82.3444
Europe - Western,GERMANY,HDR GROSSWELZHEIM,1,50.055145,8.984869
Europe - Western,UNITED KINGDOM,HEYSHAM,4,54.029927,-2.914384
Asia - Far East,JAPAN,HIGASHI DORI,1,41.188056,141.390278
Europe - Western,UNITED KINGDOM,HINKLEY POINT A,2,51.208739,-3.133743
Europe - Western,UNITED KINGDOM,HINKLEY POINT B,2,51.209034,-3.127477
Asia - Far East,CHINA,HONGYANHE,4,39.801944,121.475
America - Northern,UNITED STATES OF AMERICA,HOPE CREEK,1,39.4678,-75.5381
America - Northern,UNITED STATES OF AMERICA,HUMBOLDT BAY,1,40.741322,-124.209044
Europe - Western,UNITED KINGDOM,HUNTERSTON A,2,55.720224,-4.896656
Europe - Western,UNITED KINGDOM,HUNTERSTON B,2,55.722222,-4.89
,LITHUANIA,IGNALINA,2,55.604444,26.56
Asia - Far East,JAPAN,IKATA,3,33.491289,132.309631
America - Northern,UNITED STATES OF AMERICA,INDIAN POINT,3,41.2714,-73.9525
Europe - Western,GERMANY,ISAR,2,48.604532,12.295608
Europe - Western,SPAIN,JOSE CABRERA,1,40.349167,-2.884444
Asia - Far East,JAPAN,JPDR,1,36.458461,140.606342
Asia - Middle East and South,INDIA,KAIGA,4,14.865026,74.438709
Asia - Middle East and South,INDIA,KAKRAPAR,4,21.236525,73.350193
Europe - Central and Eastern,RUSSIAN FEDERATION,KALININ,4,57.90525,35.062775
Asia - Middle East and South,PAKISTAN,KANUPP,1,24.845343,66.788517
Asia - Far East,JAPAN,KASHIWAZAKI KARIWA,7,37.431451,138.597852
America - Northern,UNITED STATES OF AMERICA,KEWAUNEE,1,44.3431,-87.5361
Europe - Central and Eastern,UKRAINE,KHMELNITSKI,4,50.302462,26.646865
Europe - Western,GERMANY,KNK,1,49.1,8.433
Africa,SOUTH AFRICA,KOEBERG,2,-33.676152,18.433098
Europe - Central and Eastern,RUSSIAN FEDERATION,KOLA,4,67.466811,32.473832
Asia - Far East,"KOREA, REPUBLIC OF",KORI,8,35.321269,129.294517
Europe - Central and Eastern,BULGARIA,KOZLODUY,6,43.742627,23.775239
Europe - Central and Eastern,SLOVENIA,KRSKO,1,45.937981,15.516218
Europe - Western,GERMANY,KRUEMMEL,1,53.41,10.408889
Asia - Middle East and South,INDIA,KUDANKULAM,2,8.168889,77.7125
Asia - Far East,"TAIWAN, CHINA",KUOSHENG,2,25.202723,121.662638
Europe - Central and Eastern,RUSSIAN FEDERATION,KURSK,5,51.676772,35.606607
America - Northern,UNITED STATES OF AMERICA,LACROSSE,1,43.560062,-91.231485
America - Latin,MEXICO,LAGUNA VERDE,2,19.720238,-96.405252
America - Northern,UNITED STATES OF AMERICA,LASALLE,2,41.2439,-88.6708
Europe - Western,ITALY,LATINA,1,41.42529,12.807246
Europe - Western,SWITZERLAND,LEIBSTADT,1,47.601314,8.183893
Europe - Central and Eastern,RUSSIAN FEDERATION,LENINGRAD,4,59.846021,29.041052
Europe - Central and Eastern,RUSSIAN FEDERATION,LENINGRAD-2,2,59.8305,29.0571
America - Northern,UNITED STATES OF AMERICA,LIMERICK,2,40.226339,-75.586916
Asia - Far East,CHINA,LINGAO,4,22.60611,114.553247
Europe - Western,GERMANY,LINGEN,1,52.482247,7.304518
Europe - Western,FINLAND,LOVIISA,2,60.370582,26.346856
Europe - Western,SWITZERLAND,LUCENS,1,46.692778,6.8275
Asia - Far East,"TAIWAN, CHINA",LUNGMEN,2,25.038611,121.924167
Asia - Far East,"TAIWAN, CHINA",MAANSHAN,2,21.958257,120.751748
Asia - Middle East and South,INDIA,MADRAS,3,12.553056,80.173333
America - Northern,UNITED STATES OF AMERICA,MAINE YANKEE,1,43.954023,-69.694494
Europe - Western,FRANCE,MARCOULE,3,44.143333,4.709444
America - Northern,UNITED STATES OF AMERICA,MCGUIRE,2,35.4322,-80.9483
Europe - Central and Eastern,ARMENIA,METSAMOR,2,40.183594,44.153421
Asia - Far East,JAPAN,MIHAMA,3,35.70253,135.963167
America - Northern,UNITED STATES OF AMERICA,MILLSTONE,3,41.3086,-72.1681
Europe - Central and Eastern,SLOVAK REPUBLIC,MOCHOVCE,4,48.26615,18.458943
Europe - Western,BELGIUM,MOL,1,51.22342,5.099126
Asia - Far East,JAPAN,MONJU,1,35.740278,135.988056
America - Northern,UNITED STATES OF AMERICA,MONTICELLO,1,45.3333,-93.8483
Europe - Western,SWITZERLAND,MUEHLEBERG,1,46.969029,7.26882
Europe - Western,GERMANY,MUELHEIM-KAERLICH,1,50.408056,7.49
Europe - Western,GERMANY,MZFR,1,49.104247,8.432339
Asia - Middle East and South,INDIA,NARORA,2,28.159867,78.408658
Europe - Western,GERMANY,NECKARWESTHEIM,2,49.041749,9.174601
Europe - Western,GERMANY,NIEDERAICHBACH,1,48.604628,12.303986
America - Northern,UNITED STATES OF AMERICA,NINE MILE POINT,2,43.5222,-76.41
Asia - Far East,CHINA,NINGDE,4,27.045,120.283333
Europe - Western,FRANCE,NOGENT,2,48.5172,3.52
America - Northern,UNITED STATES OF AMERICA,NORTH ANNA,2,38.0608,-77.7906
Europe - Central and Eastern,RUSSIAN FEDERATION,NOVOVORONEZH,5,51.2833,39.2167
Europe - Central and Eastern,RUSSIAN FEDERATION,NOVOVORONEZH-2,2,51.275,39.2
Europe - Central and Eastern,RUSSIAN FEDERATION,OBNINSK,1,55.084167,36.569722
Europe - Western,GERMANY,OBRIGHEIM,1,49.364444,9.076389
America - Northern,UNITED STATES OF AMERICA,OCONEE,3,34.7917,-82.8986
Asia - Far East,JAPAN,OHI,4,35.541057,135.653948
Asia - Far East,JAPAN,OHMA,1,41.509722,140.910278
Europe - Western,UNITED KINGDOM,OLDBURY,2,51.648671,-2.57107
Europe - Western,FINLAND,OLKILUOTO,3,61.236345,21.443385
Asia - Far East,JAPAN,ONAGAWA,3,38.4,141.5
Europe - Western,SWEDEN,OSKARSHAMN,3,57.414743,16.671728
America - Northern,UNITED STATES OF AMERICA,OYSTER CREEK,1,39.8142,-74.2064
Europe - Central and Eastern,HUNGARY,PAKS,4,46.5725,18.8542
America - Northern,UNITED STATES OF AMERICA,PALISADES,1,42.3222,-86.3153
America - Northern,UNITED STATES OF AMERICA,PALO VERDE,3,33.3897,-112.862
Europe - Western,FRANCE,PALUEL,4,49.8581,0.63306
America - Northern,UNITED STATES OF AMERICA,PATHFINDER,1,43.603611,-96.6375
America - Northern,UNITED STATES OF AMERICA,PEACH BOTTOM,3,39.7589,-76.2692
Europe - Western,FRANCE,PENLY,2,49.9756,1.21194
America - Northern,UNITED STATES OF AMERICA,PERRY,1,41.8011,-81.1433
Europe - Western,GERMANY,PHILIPPSBURG,2,49.25279,8.436948
America - Northern,CANADA,PICKERING,8,43.810436,-79.065926
America - Northern,UNITED STATES OF AMERICA,PILGRIM,1,41.9444,-70.5794
America - Northern,UNITED STATES OF AMERICA,PIQUA,1,40.132317,-84.234767
America - Northern,UNITED STATES OF AMERICA,POINT BEACH,2,44.2808,-87.5361
America - Northern,CANADA,POINT LEPREAU,1,45.068694,-66.454582
America - Northern,UNITED STATES OF AMERICA,PRAIRIE ISLAND,2,44.6194,-92.6331
Asia - Far East,CHINA,QINSHAN,9,30.435681,120.947735
America - Northern,UNITED STATES OF AMERICA,QUAD CITIES,2,41.7261,-90.31
America - Northern,UNITED STATES OF AMERICA,R.E. GINNA,1,43.277653,-77.309254
Asia - Middle East and South,INDIA,RAJASTHAN,8,24.872911,75.620019
America - Northern,UNITED STATES OF AMERICA,RANCHO SECO-1,1,38.345278,-121.121667
Europe - Western,GERMANY,RHEINSBERG,1,53.146992,12.99015
Europe - Western,SWEDEN,RINGHALS,4,57.260141,12.111538
America - Northern,UNITED STATES OF AMERICA,RIVER BEND,1,30.7572,-91.3317
America - Northern,CANADA,ROLPHTON NPD,1,46.186667,-77.657778
Europe - Central and Eastern,UKRAINE,ROVNO,4,51.328086,25.89903
Europe - Western,FRANCE,SAINT LAURENT,2,47.72,1.5775
America - Northern,UNITED STATES OF AMERICA,SALEM,2,39.4628,-75.5358
America - Northern,UNITED STATES OF AMERICA,SAN ONOFRE,3,33.3703,-117.557
Asia - Far East,CHINA,SANMEN,2,29.101111,121.641944
Europe - Western,SPAIN,SANTA MARIA DE GARONA,1,42.774412,-3.206815
America - Northern,UNITED STATES OF AMERICA,SAXTON,1,40.226944,-78.241944
America - Northern,UNITED STATES OF AMERICA,SEABROOK,1,42.8981,-70.8514
Europe - Western,UNITED KINGDOM,SELLAFIELD,5,54.4205,-3.4975
Asia - Far East,JAPAN,SENDAI,2,31.833542,130.189984
America - Northern,UNITED STATES OF AMERICA,SEQUOYAH,2,35.2233,-85.0878
America - Northern,UNITED STATES OF AMERICA,SHEARON HARRIS,1,35.6333,-78.9561
Asia - Far East,JAPAN,SHIKA,2,37.05999,136.726869
Asia - Far East,JAPAN,SHIMANE,3,35.539583,132.997495
Asia - Far East,"KOREA, REPUBLIC OF",SHIN-WOLSONG,2,35.721747,129.478471
America - Northern,UNITED STATES OF AMERICA,SHIPPINGPORT,1,40.621111,-80.435278
America - Northern,UNITED STATES OF AMERICA,SHOREHAM,1,40.961111,-72.865
Europe - Western,UNITED KINGDOM,SIZEWELL,3,52.215,1.61972
Europe - Central and Eastern,RUSSIAN FEDERATION,SMOLENSK,3,54.1667,33.2333
America - Northern,UNITED STATES OF AMERICA,SOUTH TEXAS,2,28.795,-96.0481
Europe - Central and Eastern,UKRAINE,SOUTH UKRAINE,3,47.812171,31.217726
Europe - Western,FRANCE,ST. ALBAN,2,45.405,4.75556
Europe - Western,FRANCE,ST. LAURENT,2,47.7203,1.57917
America - Northern,UNITED STATES OF AMERICA,ST. LUCIE,2,27.3486,-80.2464
Europe - Western,GERMANY,STADE,1,53.62,9.530833
America - Northern,UNITED STATES OF AMERICA,SURRY,2,37.1656,-76.6983
America - Northern,UNITED STATES OF AMERICA,SUSQUEHANNA,2,41.0917,-76.1486
Asia - Far East,CHINA,TAISHAN,2,21.917778,112.981944
Asia - Far East,JAPAN,TAKAHAMA,4,35.522563,135.504677
Asia - Middle East and South,INDIA,TARAPUR,4,19.828785,72.661201
Europe - Central and Eastern,CZECH REPUBLIC,TEMELIN,2,49.176113,14.3819
America - Northern,UNITED STATES OF AMERICA,THREE MILE ISLAND,2,40.1531,-76.725
Europe - Western,GERMANY,THTR,1,51.679167,7.971667
Asia - Far East,CHINA,TIANWAN,2,34.687468,119.459851
Europe - Western,BELGIUM,TIHANGE,3,50.533374,5.273377
Asia - Far East,JAPAN,TOKAI,2,36.466624,140.609604
Asia - Far East,JAPAN,TOMARI,3,43.03592,140.513203
Europe - Western,UNITED KINGDOM,TORNESS,2,55.968423,-2.408406
Europe - Western,UNITED KINGDOM,TRAWSFYNYDD,2,52.924864,-3.948439
Europe - Western,FRANCE,TRICASTIN,4,44.3297,4.73222
Europe - Western,SPAIN,TRILLO,1,40.700464,-2.623286
America - Northern,UNITED STATES OF AMERICA,TROJAN,1,46.038333,-122.885
Asia - Far East,JAPAN,TSURUGA,2,35.7497,136.021
America - Northern,UNITED STATES OF AMERICA,TURKEY POINT,2,25.435,-80.3314
Asia - Far East,"KOREA, REPUBLIC OF",ULCHIN,6,37.093025,129.383285
Europe - Western,GERMANY,UNTERWESER,1,53.4277,8.480197
Europe - Western,GERMANY,VAK KAHL,1,50.059119,8.987278
America - Northern,UNITED STATES OF AMERICA,VALLECITOS,1,37.613267,-121.840164
Europe - Western,SPAIN,VANDELLOS,2,40.950996,0.866517
America - Northern,UNITED STATES OF AMERICA,VERMONT YANKEE,1,42.7803,-72.5158
Europe - Central and Eastern,RUSSIAN FEDERATION,VILYUCHINSK,2,59.931389,30.258056
America - Northern,UNITED STATES OF AMERICA,VIRGIL C. SUMMER,1,34.2958,-81.3203
America - Northern,UNITED STATES OF AMERICA,VOGTLE,2,33.1419,-81.7647
Europe - Central and Eastern,RUSSIAN FEDERATION,VOLGODONSK,4,47.599342,42.371878
America - Northern,UNITED STATES OF AMERICA,WATERFORD,1,29.995,-90.4711
America - Northern,UNITED STATES OF AMERICA,WATTS BAR,2,35.6028,-84.7903
Europe - Western,UNITED KINGDOM,WINFRITH,1,50.682,-2.261
America - Northern,UNITED STATES OF AMERICA,WOLF CREEK,1,38.2389,-95.6889
Asia - Far East,"KOREA, REPUBLIC OF",WOLSONG,4,35.711463,129.474808
Europe - Western,GERMANY,WUERGASSEN (KWW),1,51.639167,9.391389
Europe - Western,UNITED KINGDOM,WYLFA,2,53.4167,-4.48333
Asia - Far East,CHINA,YANGJIANG,3,21.708333,112.261111
America - Northern,UNITED STATES OF AMERICA,YANKEE,1,42.727839,-72.929108
Asia - Far East,"KOREA, REPUBLIC OF",YONGGWANG,6,35.41113,126.41619
Europe - Central and Eastern,UKRAINE,ZAPOROZHE,6,47.511809,34.58546
America - Northern,UNITED STATES OF AMERICA,ZION,2,42.446428,-87.803003
,,,1,,
